
IP: ::1, Method: GET, Endpoint: /assignments
IP: ::1, Method: GET, Endpoint: /assignments
IP: ::1, Method: GET, Endpoint: /assignments
IP: ::1, Method: GET, Endpoint: /assignments
IP: ::1, Method: GET, Endpoint: /assignments
IP: ::1, Method: GET, Endpoint: /assignments
IP: ::1, Method: POST, Endpoint: /assignments/1/comments
IP: ::1, Method: POST, Endpoint: /assignments/1/comments
IP: ::1, Method: POST, Endpoint: /assignments/1/comments
IP: ::1, Method: POST, Endpoint: /assignments/1/comments
IP: ::1, Method: POST, Endpoint: /assignments/1/comments
IP: ::1, Method: POST, Endpoint: /assignments/1/comments
